Wavenumber	B4C	Si	SiB6	SiC
2430.519531	0.095566	0.424537	0.307947	946156.1875
2428.223633	0.089858	0.421433	0.319551	944118.6875
2425.925781	0.084329	0.418034	0.32164	941318.3125
2423.62793	0.084205	0.419672	0.317017	941433
2421.329102	0.082733	0.421895	0.312516	939164.5
2419.030273	0.085106	0.425889	0.309427	939556.8125
2416.730469	0.088581	0.43697	0.297225	935879
2414.429688	0.088072	0.4452	0.28684	933147.5625
2412.128906	0.088527	0.444612	0.288762	931927.6875
2409.827148	0.091823	0.448383	0.298084	929412.75
2407.524414	0.089113	0.445977	0.309945	929341
2405.220703	0.089825	0.447577	0.318116	927231.8125
2402.917969	0.084955	0.444095	0.322833	923142.3125
2400.613281	0.084893	0.440414	0.326318	922384.375
2398.306641	0.082886	0.438967	0.3242	920710.375
2396.001953	0.080772	0.430021	0.308868	917704.75
2393.695313	0.081353	0.424432	0.295949	917832.125
2391.388672	0.088781	0.422646	0.300035	915290.4375
2389.080078	0.089933	0.419537	0.301744	912887.75
2386.771484	0.09077	0.431043	0.302867	906764.1875
2384.462891	0.087615	0.437169	0.299769	907743
2382.152344	0.081924	0.440235	0.310739	903711
2379.841797	0.078739	0.44318	0.312785	904225.6875
2377.53125	0.080192	0.436813	0.313274	902858.9375
2375.21875	0.079534	0.437537	0.309214	901054.875
2372.90625	0.082131	0.43704	0.324608	901504.75
2370.59375	0.081563	0.433616	0.31803	898995.125
2368.279297	0.081157	0.439803	0.315871	895098.4375
2365.964844	0.07776	0.437222	0.314373	891543.125
2363.650391	0.072785	0.433473	0.317277	888406.5
2361.333984	0.072115	0.432664	0.314555	889155.75
2359.017578	0.075972	0.431369	0.317828	888214.4375
2356.701172	0.079004	0.438851	0.319272	883895.5
2354.382813	0.080957	0.44606	0.33052	883278.5625
2352.064453	0.083707	0.451092	0.324386	884513.25
2349.744141	0.085621	0.453577	0.326993	880937.25
2347.425781	0.084862	0.445016	0.320293	878085.25
2345.103516	0.083245	0.440381	0.326907	879302.875
2342.783203	0.079862	0.437493	0.328699	875769.9375
2340.460938	0.076379	0.439329	0.325263	872293.875
2338.138672	0.074105	0.442753	0.329961	870735.75
2335.816406	0.073643	0.448873	0.329237	868255.125
2333.492188	0.077376	0.460325	0.33429	864891.5
2331.167969	0.084983	0.469772	0.347116	864214.125
2328.841797	0.089053	0.469773	0.351624	861913.5625
2326.515625	0.091125	0.472558	0.365037	861618.875
2324.189453	0.091705	0.46678	0.363957	859920.875
2321.863281	0.089088	0.45761	0.348254	859907.0625
2319.535156	0.083728	0.449692	0.334523	855365.5
2317.207031	0.080812	0.448048	0.313834	855458.0625
2314.876953	0.078738	0.451877	0.308014	853533.6875
2312.546875	0.079493	0.458558	0.314159	852571.8125
2310.216797	0.079326	0.464416	0.318644	848177.6875
2307.884766	0.078662	0.467105	0.324119	845570.5
2305.552734	0.079415	0.461175	0.335534	844263
2303.220703	0.083023	0.459689	0.333358	843895
2300.886719	0.080996	0.458541	0.32698	842281.0625
2298.552734	0.08494	0.460783	0.324	839684.625
2296.21875	0.085929	0.456072	0.326911	838329.625
2293.882813	0.081523	0.45571	0.327736	835581.4375
2291.546875	0.083388	0.458379	0.322967	834326.6875
2289.210938	0.083281	0.455356	0.315416	831469.8125
2286.873047	0.081493	0.45634	0.311251	827687.125
2284.535156	0.082812	0.455314	0.303436	829326.8125
2282.197266	0.083435	0.454841	0.300136	824811.3125
2279.857422	0.087335	0.455736	0.30966	824577.3125
2277.517578	0.089663	0.454399	0.313298	822364.6875
2275.177734	0.089843	0.459221	0.318584	819398.1875
2272.835938	0.092954	0.461455	0.31518	818521.8125
2270.494141	0.094072	0.466013	0.310394	815125.5625
2268.150391	0.094518	0.46949	0.301921	816155.625
2265.808594	0.093039	0.46772	0.292274	813710.25
2263.462891	0.091634	0.466132	0.302038	810361.8125
2261.119141	0.093494	0.464264	0.305777	807696.5625
2258.773438	0.098764	0.465267	0.310235	807718.75
2256.427734	0.10014	0.466366	0.311579	806128.6875
2254.080078	0.098344	0.469256	0.302699	803588.0625
2251.732422	0.097787	0.47564	0.305638	802782.6875
2249.384766	0.095283	0.477773	0.302471	803081.6875
2247.035156	0.094256	0.482934	0.299155	798310.875
2244.6875	0.093002	0.481983	0.308236	794844
