Wavenumber	B4C	Si	SiB6	SiC	SiBC
2526.383789	79033.98438	5090.651367	11318.43652	1026360.688	2535.898075
2524.114258	79124.80469	5103.514648	11200.60645	1023423.25	2536.542323
2521.844727	78639.50781	5027.150879	11175.36621	1018773.5	2527.883779
2519.574219	78551.98438	5067.553223	11172.16113	1018153.188	2531.12056
2517.303711	78414.97656	4949.410156	11099.60547	1012442.938	2530.043357
2515.032227	78399.08594	5102.06543	11094.2207	1012186.75	2529.643692
2512.759766	78283.08594	5097.30127	11098.74023	1011476.188	2530.599364
2510.486328	78419.01563	5044.144043	11247.34082	1010166.5	2523.805011
2508.212891	78740.6875	5122.967285	11081.37988	1010457.313	2530.960624
2505.938477	78500.45313	5169.865723	11107.88086	1007121.5	2519.899756
2503.664063	78068.03906	5102.445313	11004.69238	1005730.375	2529.562132
2501.387695	78479.59375	5167.999023	11217.96289	1008275.188	2520.1826
2499.112305	77916.71875	5158.828125	11099.42285	1002273.75	2529.424881
2496.834961	78135.92188	5169.42627	11038.0459	1002378.188	2534.424094
2494.557617	77913.73438	5127.328613	11149.03711	999721.875	2528.59443
2492.279297	77938.57031	5181.824219	11200.70606	998773.375	2518.202434
2490	77816.375	5088.184082	11089.98242	997011.25	2512.391474
2487.720703	77932.23438	5190.915527	11092.28418	994489	2525.030473
2485.44043	77303.5625	5220.125977	10956.43652	990442.9375	2513.357966
2483.160156	78100.16406	5116.688965	11085.91992	990439.375	2517.079798
2480.87793	77979.13281	5152.478516	11002.74707	989173.375	2516.177921
2478.59668	77716.85156	5136.758301	11148.57324	987276.9375	2524.838641
2476.313477	77478.79688	5146.236328	11077.47461	984434.25	2520.641299
2474.030273	77305.47656	5227.96875	11125.75293	983746.6875	2514.4922
2471.746094	77385.07813	5171.740723	11114.89746	982257.0625	2517.517748
2469.460938	77292.84375	5209.648926	11027.45313	980742	2517.081395
2467.175781	77572.57031	5181.899414	11010.06738	978980.4375	2516.872315
2464.889648	77005.70313	5236.186035	10941.29199	977376.1875	2511.803342
2462.602539	77048.10156	5206.257324	10964.38965	973564.375	2510.228652
2460.31543	77105.76563	5179.624512	11090.21094	970823.5625	2509.529731
2458.027344	76998.40625	5236.048828	11053.15527	972672.1875	2506.945248
2455.739258	77096.45313	5274.962402	11083.84375	968405.9375	2498.968966
2453.449219	76663.71875	5206.833496	10971.46094	965531.125	2501.648886
2451.15918	76390.61719	5261.016602	11092.76367	962412.1875	2505.001763
2448.869141	76485.46094	5189.655762	11100.49219	963703.0625	2500.268035
2446.577148	76521.32031	5269.997559	10999.1084	957655.625	2499.756957
2444.285156	76886.57031	5144.134766	10992.67773	961167.75	2499.930679
2441.993164	76624.58594	5212.447754	11012.41992	958023.8125	2485.483433
2439.699219	76441.24219	5144.450684	10862.08887	953915.75	2482.625467
